<<<<<<< HEAD
idHouse;idFacility;available;description;idImage
"3;13;1;This tiny home is the perfect blend of modern design and compact luxury. Ideal for couples or small families, it boasts a functional and stylish layout that maximizes every inch of space. With a fully equipped kitchen, comfortable bedroom, and three bathrooms, this tiny home proves that small spaces can be both charming and practical. Located in a quiet area, it’s the ideal place to relax after a busy day exploring the nearby attractions. Enjoy the serenity and charm of this cozy home, designed with thoughtful details to make your stay unforgettable.;3;;;;"
"4;9;1;This countryside stay offers a peaceful retreat surrounded by nature. The home features three cozy bedrooms and three bathrooms, making it ideal for families or small groups. With a large living area and a modern kitchen, this home provides all the comforts needed for an extended stay. Step outside to enjoy the private patio or explore the surrounding fields and trails. Whether you want to relax by the fire or embark on an outdoor adventure, this countryside home provides the perfect setting for a memorable vacation.;4;;;;"
"5;5;1;This tiny home is both efficient and stylish, offering an ideal stay for solo travelers or couples. With four bedrooms, each thoughtfully designed for comfort, the home has all the necessary amenities including a fully equipped kitchen and one bathroom. Whether you are looking for a weekend getaway or an extended stay, this tiny home offers the perfect balance of comfort and convenience. Its quaint charm and functional design make it a perfect choice for anyone seeking a cozy, affordable escape.;5;;;;"
"6;7;1;This cozy cabin is designed for ultimate relaxation and comfort. Located in a secluded area, it offers two bedrooms and two bathrooms, making it perfect for couples or small groups looking for a peaceful retreat. The living area is designed for relaxation, with a wood-burning stove and comfortable seating. Whether you’re exploring the nearby trails or simply enjoying a peaceful evening by the fire, this cabin offers a unique blend of nature and comfort that will make your stay unforgettable.;6;;;;"
"7;1;1;This luxurious villa is the perfect getaway for those seeking comfort, privacy, and style. Featuring a spacious layout with one bedroom, one bath, and modern furnishings, the villa is designed to meet all your needs. Located in a prime area, it offers stunning views and an atmosphere of peace and tranquility. With a fully equipped kitchen, a washer, and Wi-Fi, you’ll have everything you need for a seamless stay. Relax in the villa’s chic environment or explore the vibrant surroundings of Port James, Portugal.;7;;;;"
"8;1;1;Located in the heart of the city, this modern apartment provides the perfect blend of luxury and convenience. With two bedrooms, three beds, and two bathrooms, this apartment offers spacious accommodations for families or small groups. Enjoy a relaxing evening in the open-plan living area, cook a meal in the fully equipped kitchen, or explore the city’s attractions just a short walk away. Whether you are in the city for business or leisure, this apartment will meet all your needs while offering a high level of comfort and style.;8;;;;"
"9;5;1;This spacious apartment is perfect for families or larger groups. With four bedrooms, five beds, and three bathrooms, there’s plenty of space for everyone to feel comfortable. The apartment is fully furnished with modern décor, offering all the comforts of home, including a fully equipped kitchen and a cozy living area. Located in a prime area of Transide, Germany, this apartment is just a short walk from local attractions, shopping, and restaurants. It’s the ideal place to relax after a busy day of sightseeing.;9;;;;"
"10;5;1;This apartment offers a great value for those looking for a comfortable and affordable stay. With four bedrooms, four beds, and one bathroom, the apartment can accommodate small families or groups. Located in a convenient area with easy access to shops and restaurants, this apartment is perfect for travelers seeking both comfort and convenience. The open-plan living area is bright and airy, providing a welcoming space to relax after a busy day. A great option for those seeking a blend of value and comfort.;10;;;;"
"11;5;1;This stylish cabin offers a perfect escape to nature while providing all the modern amenities you need for a comfortable stay. With two bedrooms, two beds, and one bathroom, the cabin is perfect for small families or groups of friends. Enjoy the open-air patio with beautiful views of the surrounding countryside or relax by the cozy fireplace inside. The cabin is equipped with a kitchen, washer, and air conditioning, making it a convenient and comfortable choice for a peaceful getaway in the heart of nature.;11;;;;"
"12;5;1;This spacious apartment offers a high level of comfort and modern design. Located in a prime area of the USA, this apartment features five bedrooms, each carefully designed to provide comfort and relaxation. With a fully equipped kitchen, living area, and ample bathroom facilities, this apartment ensures your stay is both comfortable and convenient. Explore the vibrant city life or relax in the comfort of this well-appointed home. Whether you are visiting for business or leisure, this apartment is the ideal place to stay.;12;;;;"
"13;1;1;This charming cabin is perfect for those looking to enjoy both comfort and nature. With three bedrooms and four beds, it comfortably accommodates families or small groups. The cabin features a well-equipped kitchen, a cozy living area, and a modern bathroom. The spacious backyard is perfect for outdoor dining, barbecues, and enjoying the fresh air. Set in a beautiful rural area, the cabin offers a peaceful environment ideal for relaxation, hiking, and outdoor activities.;13;;;;"
"14;1;1;Located in a beautiful lakeside area, this countryside home offers a perfect escape for those seeking nature and tranquility. With three bedrooms, four beds, and three bathrooms, the home provides ample space for families or small groups. The spacious living room features large windows with picturesque views, making it an ideal place to relax. The outdoor area includes a private patio, perfect for dining or simply enjoying the fresh air. This countryside stay provides a wonderful balance of comfort and nature.;14;;;;"
"15;2;1;This tiny home is designed to offer an intimate and cozy getaway for couples or solo travelers. Featuring a modern design and fully equipped with all the essentials, the tiny home makes the most of its compact space. With a small but efficient kitchen, a comfortable bedroom, and one bathroom, it provides everything needed for a convenient and enjoyable stay. Situated in a peaceful area, this tiny home is a perfect retreat for those who value simplicity and nature.;15;;;;"
>>>>>>> 62e552e (Datos de csv cambiados 02)
